ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0	0			150	137
1	0	0			150	137
2	0	0			150	150
3	0	0			150	98
4	0	0			150	98
5	0	0			138	150
6	0	0			138	150
7	0	0			150	150
8	0	0			150	138
9	0	0			150	138
10	0	0			150	137
11	0	0			150	137
12	0	0			150	150
13	0	0			138	150
14	0	0			138	150
15	0	0			150	150
16	0	0			150	138
17	0	0			150	138
18	0	0			123	150
19	0	0			150	137
20	0	0			150	137
21	0	0			150	150
22	0	0			138	150
23	0	0			138	150
24	0	0			150	150
25	0	0			150	138
26	0	0			150	138
27	0	0			150	150
28	0	0			150	108
29	0	0			150	111
30	0	0			123	150
31	0	0			150	137
32	0	0			150	137
33	0	0			150	150
34	0	0			138	150
35	0	0			138	150
36	0	0			150	150
37	0	0			150	138
38	0	0			150	138
39	0	0			123	150
40	0	0			150	137
41	0	0			150	137
42	0	0			150	150
43	0	0			150	98
44	0	0			150	98
45	0	0			150	111
46	0	0			150	150
47	0	0			150	150
48	0	0			150	150
49	0	0			147	141
50	0	0			150	103
51	0	0			150	150
52	0	0			150	150
53	0	0			111	150
54	0	0			150	103
55	0	0			150	150
56	0	0			147	141
57	0	0			150	103
58	0	0			150	150
59	0	0			150	150
60	0	0			147	141
61	0	0			111	150
62	0	0			150	150
63	0	0			147	141
64	0	0			150	150
65	0	0			150	103
66	0	0			150	150
67	0	0			84	102
68	0	0			148	150
69	0	0			150	150
70	0	0			150	150
71	0	0			141	150
72	0	0			138	150
73	0	0			150	150
74	0	0			99	126
75	0	0			99	102
76	0	0			102	126
77	0	0			102	129
78	0	0			150	150
79	0	0			150	150
80	0	0			150	150
81	0	0			150	121
82	0	0			150	150
83	0	0			150	150
84	0	0			150	150
85	0	0			150	150
86	0	0			150	150
87	0	0			150	150
88	0	0			150	150
89	0	0			150	150
90	0	0			150	108
91	0	0			126	150
92	0	0			150	103
93	0	0			150	150
94	0	0			150	150
95	0	0			150	150
96	0	0			150	150
97	0	0			123	150
98	0	0			106	150
99	0	0			150	150
100	12	15			138	150
101	10	19			150	150
102	12	20			150	147
103	0	0			150	150
104	0	0			150	111
105	0	0			150	150
106	15	24			117	150
107	1	1			150	150
108	0	462			115	150
109	6	0			111	105
110	0	0			150	150
111	28	253			124	150
112	0	0			150	114
113	1	4			150	123
114	0	0			150	150
115	20	22			150	150
116	102	1			150	121
117	72	1			150	121
118	25	0			150	150
119	3	0			93	90
120	10	15			150	150
121	1	16			144	111
122	0	0			93	93
123	0	0			150	126
124	0	0			150	150
125	0	0			126	150
126	11	17			150	150
127	69	117			150	150
128	293	2			150	150
129	108	48			150	120
130	0	0			150	150
131	4	67			150	150
132	23	52			123	140
133	1	5			150	150
134	0	0			150	150
135	97	110			150	150
136	75	108			150	150
137	33	46			150	146
138	0	93			150	150
139	1627	1829			150	150
140	22	44			150	150
141	5	3			150	150
142	0	0			136	150
143	0	0			150	150
144	1	44			150	150
145	185	159			150	150
146	0	4			150	150
147	17	24			142	150
148	8	1			150	150
149	0	7			150	150
150	3	13			150	150
151	9	0			150	150
152	34	1			115	118
153	226	227			150	146
154	6	16			150	150
155	20	0			150	150
156	16	0			150	113
157	20	0			150	113
158	5	0			150	150
159	90	101			150	150
160	11	101			150	150
161	35	53			105	150
162	29	107			150	150
163	1	18			150	146
164	1	5			150	150
165	12	18			150	146
166	12	5			150	150
167	18	5			146	150
168	1	2			146	150
169	0	4			150	119
170	0	2			150	130
171	4	2			150	119
172	4	2			119	130
173	0	7			150	150
174	2	5			150	130
175	12	85			121	150
176	5	99			121	150
177	2	99			150	150
178	14	99			150	150
179	2	5			150	121
180	14	5			150	121
181	3	17			147	144
182	0	2			150	150
183	0	0			150	133
184	7	3			129	148
185	0	3			150	150
186	0	3			150	150
187	20	11			150	150
188	2	32			150	150
189	0	0			141	150
190	1	4			150	150
191	251	73			150	132
192	97	179			150	150
193	27	35			150	150
194	4	87			150	150
195	70	87			150	150
196	1	4			150	144
197	10	3			117	150
198	41	14			150	150
199	41	24			150	150
200	44	32			150	150
201	31	41			150	150
202	0	0			150	150
203	2	0			150	150
204	0	0			123	150
205	5	58			150	150
206	65	76			150	150
207	0	188			150	150
208	4	11			150	150
209	17	24			150	150
210	18	24			150	150
211	0	6			150	150
212	383	3			148	150
213	39	115			150	150
214	33	32			150	150
215	13	27			150	150
216	1	11			150	150
217	73	144			148	123
218	0	0			141	139
