ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0	0			247	137
1	0	0			367	137
2	0	0			367	247
3	0	0			168	98
4	0	0			168	98
5	0	0			138	255
6	0	0			138	255
7	0	0			153	255
8	0	0			153	138
9	0	0			153	138
10	0	0			247	137
11	0	0			367	137
12	0	0			367	247
13	0	0			138	255
14	0	0			138	255
15	0	0			153	255
16	0	0			153	138
17	0	0			153	138
18	0	0			123	165
19	0	0			247	137
20	0	0			367	137
21	0	0			367	247
22	0	0			138	255
23	0	0			138	255
24	0	0			153	255
25	0	0			153	138
26	0	0			153	138
27	0	0			174	214
28	0	0			224	108
29	0	0			192	111
30	0	0			123	165
31	0	0			247	137
32	0	0			367	137
33	0	0			367	247
34	0	0			138	255
35	0	0			138	255
36	0	0			153	255
37	0	0			153	138
38	0	0			153	138
39	0	0			123	165
40	0	0			247	137
41	0	0			367	137
42	0	0			367	247
43	0	0			168	98
44	0	0			168	98
45	0	0			192	111
46	0	0			179	259
47	0	0			259	333
48	0	0			193	192
49	0	0			147	141
50	0	0			218	103
51	0	0			360	151
52	0	0			193	192
53	0	0			111	153
54	0	0			218	103
55	0	0			360	151
56	0	0			147	141
57	0	0			218	103
58	0	0			360	151
59	0	0			193	192
60	0	0			147	141
61	0	0			111	153
62	0	0			193	192
63	0	0			147	141
64	0	0			372	372
65	0	0			218	103
66	0	0			360	151
67	0	0			84	102
68	0	0			148	226
69	0	0			165	238
70	0	0			231	174
71	0	0			141	312
72	0	0			138	297
73	0	0			1374	252
74	0	0			99	126
75	0	0			99	102
76	0	0			102	126
77	0	0			102	129
78	0	0			170	186
79	0	0			206	217
80	0	0			230	203
81	0	0			403	121
82	0	0			182	177
83	0	0			284	177
84	0	0			172	246
85	0	0			172	153
86	0	0			232	211
87	0	0			232	170
88	0	0			190	183
89	0	0			166	291
90	0	0			160	108
91	0	0			126	179
92	0	0			218	103
93	0	0			360	151
94	0	0			173	173
95	0	0			372	372
96	3	1			210	165
97	0	0			123	165
98	3	2			106	170
99	0	0			420	238
100	35	59			136	153
101	24	145			138	297
102	279	141			223	140
103	5	10			170	186
104	0	0			193	192
105	0	0			192	111
106	2	2			164	137
107	0	0			231	231
108	0	6			194	457
109	0	55			115	205
110	10	0			111	105
111	1	0			217	183
112	0	0			193	114
113	2	13			213	123
114	0	9			184	222
115	24	34			206	217
116	42	0			175	121
117	27	1			175	121
118	574	0			1266	192
119	5	0			93	90
120	7	12			210	231
121	2	15			144	111
122	0	0			93	93
123	108	46			211	161
124	1	0			206	126
125	1	0			206	235
126	0	0			126	235
127	29	29			130	171
128	199	18			153	210
129	4	0			175	160
130	24	61			123	140
131	7	10			211	172
132	0	0			420	238
133	32	16			252	146
134	0	61			188	185
135	183	83			355	158
136	24	219			262	738
137	43	82			163	207
138	0	12			136	168
139	0	6			182	221
140	0	10			167	212
141	16	39			142	227
142	149	2			2424	234
143	3	0			167	195
144	16	0			215	169
145	264	194			155	137
146	43	2			115	118
147	74	112			182	215
148	83	19			154	146
149	48	102			165	220
150	48	102			170	220
151	28	0			223	434
152	17	0			223	113
153	28	0			223	113
154	17	2			282	254
155	14	4			177	151
156	12	13			166	143
157	9	78			146	229
158	31	66			146	153
159	2	2			153	119
160	2	56			153	130
161	48	0			153	119
162	2	56			119	130
163	3	73			119	146
164	39	73			119	146
165	0	137			154	255
166	98	79			255	130
167	1	87			146	160
168	3	142			121	204
169	2	145			121	204
170	17	145			175	204
171	22	145			180	204
172	17	2			175	121
173	22	2			180	121
174	9	26			147	144
175	0	1			175	215
176	0	0			185	133
177	6	6			129	148
178	28	71			148	194
179	2	8			1030	221
180	0	8			197	221
181	60	29			254	254
182	6	49			199	233
183	165	76			243	143
184	480	808			172	145
185	161	802			172	145
186	0	0			141	175
187	6	4			219	184
188	335	66			243	132
189	46	96			191	294
190	30	110			289	243
191	49	110			211	243
