ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1082	"ENSG00000092929.7"	"UNC13D"	chr17	-	73835919	73836410	73835919	73836023	73836305	73836410
1098	"ENSG00000105122.8"	"RASAL3"	chr19	-	15562434	15563626	15562434	15562749	15563468	15563626
1163	"ENSG00000198258.6"	"UBL5"	chr19	+	9939002	9939351	9939002	9939065	9939267	9939351
1255	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994519	79994066	79994184	79994419	79994519
1257	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994639	79994066	79994184	79994596	79994639
1281	"ENSG00000007384.11"	"RHBDF1"	chr16	-	108971	109347	108971	109091	109246	109347
1308	"ENSG00000132199.14"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
1373	"ENSG00000136450.8"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
1381	"ENSG00000005884.13"	"ITGA3"	chr17	+	48153947	48154811	48153947	48154045	48154742	48154811
1569	"ENSG00000100316.11"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
1739	"ENSG00000214078.7"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1837	"ENSG00000102901.8"	"CENPT"	chr16	-	67863667	67865261	67863667	67863991	67865118	67865261
1956	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037573	36038142	36037573	36037710	36038020	36038142
2367	"ENSG00000065357.15"	"DGKA"	chr12	+	56345406	56346215	56345406	56345567	56346124	56346215
2539	"ENSG00000076706.10"	"MCAM"	chr11	-	119181465	119182131	119181465	119181613	119181989	119182131
2637	"ENSG00000105426.10"	"PTPRS"	chr19	-	5218430	5219478	5218430	5218543	5219320	5219478
2887	"ENSG00000064201.11"	"TSPAN32"	chr11	+	2335714	2337897	2335714	2335801	2337805	2337897
2924	"ENSG00000142102.11"	"ATHL1"	chr11	+	290677	292095	290677	290781	291975	292095
3101	"ENSG00000168010.6"	"ATG16L2"	chr11	+	72537562	72538338	72537562	72537634	72538232	72538338
3128	"ENSG00000110330.4"	"BIRC2"	chr11	+	102219328	102221480	102219328	102219450	102220731	102221480
3194	"ENSG00000221968.4"	"FADS3"	chr11	-	61643830	61645687	61643830	61644435	61645626	61645687
3259	"ENSG00000142910.11"	"TINAGL1"	chr1	+	32051040	32052356	32051040	32051086	32052310	32052356
3329	"ENSG00000213930.7"	"GALT"	chr9	+	34647085	34647958	34647085	34647255	34647653	34647958
3486	"ENSG00000178038.12"	"ALS2CL"	chr3	-	46716055	46717892	46716055	46716229	46717734	46717892
3521	"ENSG00000172638.8"	"EFEMP2"	chr11	-	65634315	65634550	65634315	65634405	65634491	65634550
3544	"ENSG00000012171.13"	"SEMA3B"	chr3	+	50312273	50312890	50312273	50312365	50312732	50312890
3723	"ENSG00000126088.8"	"UROD"	chr1	+	45479580	45480508	45479580	45479742	45480407	45480508
3770	"ENSG00000186088.11"	"GSAP"	chr7	-	76958649	76959684	76958649	76958708	76959498	76959684
3862	"ENSG00000147813.11"	"NAPRT1"	chr8	-	144656954	144657515	144656954	144657070	144657360	144657515
4058	"ENSG00000186281.8"	"GPAT2"	chr2	-	96688705	96689188	96688705	96688771	96689056	96689188
4137	"ENSG00000231500.2"	"RPS18"	chr6	+	33243741	33244287	33243741	33243843	33244167	33244287
4414	"ENSG00000204301.5"	"NOTCH4"	chr6	-	32168893	32171659	32168893	32169277	32171546	32171659
4588	"ENSG00000114626.13"	"ABTB1"	chr3	+	127395378	127396129	127395378	127395424	127396010	127396129
4599	"ENSG00000140365.11"	"COMMD4"	chr15	+	75631325	75632219	75631325	75631445	75632042	75632219
4631	"ENSG00000135218.13"	"CD36"	chr7	+	80302085	80303463	80302085	80302159	80303298	80303463
5087	"ENSG00000131143.4"	"COX4I1"	chr16	+	85838542	85840608	85838542	85838710	85840343	85840608
5090	"ENSG00000140043.7"	"PTGR2"	chr14	+	74343700	74346879	74343700	74343871	74346757	74346879
