ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
105	"ENSG00000131725.9"	"WDR44"	chrX	+	117570664	117570787	117575330	117575522	117566743	117566857	117576206	117576308
108	"ENSG00000101901.6"	"ALG13"	chrX	+	110964830	110964939	110967025	110967126	110963322	110963398	110968161	110968289
109	"ENSG00000101901.6"	"ALG13"	chrX	+	110973752	110973808	110978278	110978350	110973622	110973655	110979941	110980107
117	"ENSG00000082458.7"	"DLG3"	chrX	+	69713225	69713325	69715257	69715303	69712370	69712446	69718369	69718420
120	"ENSG00000126756.7"	"UXT"	chrX	-	47516581	47516689	47516970	47517038	47511479	47511543	47517180	47517262
127	"ENSG00000198947.10"	"DMD"	chrX	-	32364059	32364197	32366522	32366645	32361250	32361403	32380904	32381075
133	"ENSG00000100258.13"	"LMF2"	chr22	-	50943485	50943582	50943657	50943763	50943230	50943413	50943831	50943966
134	"ENSG00000100258.13"	"LMF2"	chr22	-	50944463	50944642	50944713	50944931	50944102	50944244	50945066	50945095
135	"ENSG00000100258.13"	"LMF2"	chr22	-	50944713	50944931	50945066	50945095	50944463	50944642	50945210	50945464
139	"ENSG00000241484.5"	"ARHGAP8"	chr22	+	45110470	45110551	45121123	45121172	45098354	45098488	45122456	45122514
143	"ENSG00000242247.6"	"ARFGAP3"	chr22	-	43227554	43227642	43230247	43230331	43222945	43223005	43236949	43237022
146	"ENSG00000196588.10"	"MKL1"	chr22	-	40819539	40819689	40820209	40820385	40816850	40817104	40825609	40825771
149	"ENSG00000100211.6"	"CBY1"	chr22	+	39052960	39053148	39061550	39061690	39052680	39052755	39064021	39064137
151	"ENSG00000184381.14"	"PLA2G6"	chr22	-	38519101	38519265	38521645	38521698	38516765	38516916	38522377	38522456
152	"ENSG00000100129.13"	"EIF3L"	chr22	+	38251571	38251651	38254685	38254747	38247286	38247497	38258975	38259045
153	"ENSG00000100097.7"	"LGALS1"	chr22	+	38072862	38073072	38074489	38074661	38071663	38071718	38075609	38075809
154	"ENSG00000100097.7"	"LGALS1"	chr22	+	38072992	38073072	38074489	38074661	38071614	38071718	38075609	38075813
157	"ENSG00000100209.5"	"HSCB"	chr22	+	29139869	29139966	29147228	29147276	29138018	29138319	29153065	29153498
158	"ENSG00000100209.5"	"HSCB"	chr22	+	29140602	29140697	29141851	29141996	29139869	29139966	29147228	29147276
164	"ENSG00000185838.9"	"GNB1L"	chr22	-	19794181	19794280	19799807	19799970	19789523	19789739	19808120	19808246
165	"ENSG00000069998.8"	"CECR5"	chr22	-	17621948	17622123	17623987	17624021	17619439	17619628	17625913	17626007
166	"ENSG00000160305.13"	"DIP2A"	chr21	+	47918494	47918746	47924273	47924402	47916900	47917020	47929169	47929289
167	"ENSG00000182871.10"	"COL18A1"	chr21	+	46907360	46907423	46908331	46908358	46906774	46906906	46909399	46909435
168	"ENSG00000182871.10"	"COL18A1"	chr21	+	46908331	46908358	46909399	46909435	46907360	46907423	46910188	46910260
186	"ENSG00000185808.9"	"PIGP"	chr21	-	38439561	38439680	38441851	38441924	38437673	38438012	38444733	38444837
190	"ENSG00000249624.4"	"AP000295.9"	chr21	+	34640698	34640822	34648900	34649058	34624966	34625135	34652056	34652223
191	"ENSG00000265590.5"	"AP000275.65"	chr21	-	33979958	33980026	33982147	33982315	33976434	33976593	33984414	33984456
196	"ENSG00000184402.10"	"SS18L1"	chr20	+	60729336	60729521	60733727	60733804	60718850	60718945	60734932	60735017
197	"ENSG00000149657.15"	"LSM14B"	chr20	+	60701281	60701495	60704840	60705008	60699672	60699836	60705274	60705352
198	"ENSG00000149657.15"	"LSM14B"	chr20	+	60701359	60701495	60704840	60705008	60699672	60699836	60705274	60705352
199	"ENSG00000149657.15"	"LSM14B"	chr20	+	60702640	60702757	60704840	60705008	60701359	60701495	60705274	60705352
200	"ENSG00000101160.9"	"CTSZ"	chr20	-	57571693	57571856	57572657	57572808	57570239	57570814	57576519	57576699
203	"ENSG00000124207.12"	"CSE1L"	chr20	+	47701819	47701923	47704545	47704643	47700562	47700699	47705783	47705934
206	"ENSG00000196839.8"	"ADA"	chr20	-	43252842	43252970	43254209	43254325	43251469	43251571	43255096	43255240
214	"ENSG00000272897.1"	"RP1-309K20.6"	chr20	-	34220716	34220845	34243123	34243266	34220438	34220618	34246851	34246936
215	"ENSG00000088298.8"	"EDEM2"	chr20	-	33722540	33722752	33725682	33725808	33719444	33719586	33730175	33730281
216	"ENSG00000078747.8"	"ITCH"	chr20	+	32981596	32981687	32996456	32996598	32957199	32957276	33000320	33000445
219	"ENSG00000101391.16"	"CDK5RAP1"	chr20	-	31958304	31958435	31960447	31960503	31954664	31954814	31961920	31962018
222	"ENSG00000101294.12"	"HM13"	chr20	+	30154012	30154098	30155880	30156027	30149436	30149539	30156922	30157370
223	"ENSG00000101294.12"	"HM13"	chr20	+	30154012	30154098	30155880	30156083	30149436	30149539	30156922	30157370
230	"ENSG00000130726.7"	"TRIM28"	chr19	+	59056791	59056904	59057130	59057263	59055835	59056464	59058742	59058878
231	"ENSG00000083845.4"	"RPS5"	chr19	+	58904342	58904552	58904725	58904854	58899503	58899612	58905863	58905962
232	"ENSG00000119760.11"	"SUPT7L"	chr2	-	27880211	27880536	27883850	27884255	27878231	27878469	27885045	27885148
233	"ENSG00000119760.11"	"SUPT7L"	chr2	-	27880211	27880536	27883850	27884468	27878231	27878469	27885045	27885148
239	"ENSG00000273189.1"	"CTD-3148I10.15"	chr19	+	49982165	49982304	49983554	49983733	49979679	49979823	49983808	49983877
240	"ENSG00000105538.4"	"RASIP1"	chr19	-	49230649	49230687	49232193	49232847	49230263	49230415	49238452	49238808
241	"ENSG00000165626.12"	"BEND7"	chr10	-	13541738	13542080	13568137	13568221	13538765	13538888	13570472	13570533
242	"ENSG00000165626.12"	"BEND7"	chr10	-	13541777	13542080	13568137	13568221	13538765	13538888	13570472	13570533
248	"ENSG00000091732.11"	"ZC3HC1"	chr7	-	129663350	129663563	129664102	129664346	129662158	129662365	129665997	129666152
250	"ENSG00000105755.3"	"ETHE1"	chr19	-	44012926	44013016	44015588	44015718	44011788	44012212	44030666	44030811
251	"ENSG00000105755.3"	"ETHE1"	chr19	-	44015588	44015718	44030666	44030811	44012926	44013016	44031248	44031353
259	"ENSG00000239382.6"	"ALKBH6"	chr19	-	36501795	36501947	36502305	36502366	36501468	36501585	36503922	36503991
261	"ENSG00000239382.6"	"ALKBH6"	chr19	-	36502305	36502366	36503922	36503991	36501795	36501947	36504245	36504324
