ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000261994.1"	"WEE2-AS1"	chrGL383534.2	-	99803	100242	99803	99978	100591	100745
1	"ENSG00000225553.3"	"PHF1"	chrGL000256.1	+	4860532	4860614	4860540	4860614	4860272	4860447
2	"ENSG00000225553.3"	"PHF1"	chrGL000256.1	+	4862977	4863167	4862988	4863167	4862747	4862852
3	"ENSG00000225553.3"	"PHF1"	chrGL000256.1	+	4863612	4863693	4863615	4863693	4863257	4863352
4	"ENSG00000236014.6"	"VPS52"	chrGL000256.1	-	4716995	4717200	4716995	4717171	4717471	4717539
5	"ENSG00000231573.1"	"HCG25"	chrGL000256.1	+	4698610	4698713	4698617	4698713	4697791	4697891
6	"ENSG00000231573.1"	"HCG25"	chrGL000256.1	+	4699514	4699708	4699579	4699708	4698617	4698713
7	"ENSG00000233140.2"	"TAPSAR1"	chrGL000256.1	+	4243194	4243420	4243359	4243420	4242682	4242824
8	"ENSG00000231631.2"	"PSMB8"	chrGL000256.1	-	4241221	4241333	4241221	4241261	4241491	4241639
9	"ENSG00000232062.4"	"HLA-DQA1"	chrGL000256.1	+	4044123	4044450	4044335	4044450	4043789	4043964
10	"ENSG00000234508.3"	"GPSM3"	chrGL000256.1	-	3507211	3507411	3507211	3507373	3507650	3507753
11	"ENSG00000227600.7"	"PPT2"	chrGL000256.1	+	3471189	3471285	3471269	3471285	3470088	3470279
12	"ENSG00000227600.7"	"PPT2"	chrGL000256.1	+	3471189	3471285	3471269	3471285	3470531	3470685
13	"ENSG00000227600.7"	"PPT2"	chrGL000256.1	+	3482591	3482762	3482607	3482762	3482414	3482510
14	"ENSG00000228454.3"	"C4B"	chrGL000256.1	+	3330053	3330286	3330113	3330286	3329653	3329825
15	"ENSG00000198457.9"	"CYP21A2"	chrGL000256.1	+	3339559	3339733	3339578	3339733	3339206	3339296
16	"ENSG00000198457.9"	"CYP21A2"	chrGL000256.1	+	3340030	3340132	3340070	3340132	3339840	3339942
17	"ENSG00000234798.2"	"DXO"	chrGL000256.1	-	3271092	3271312	3271092	3271239	3271398	3271634
18	"ENSG00000228896.5"	"SKIV2L"	chrGL000256.1	+	3261682	3261873	3261827	3261873	3261527	3261581
19	"ENSG00000224143.6"	"EHMT2"	chrGL000256.1	-	3185431	3185575	3185431	3185536	3187100	3187202
20	"ENSG00000235302.5"	"LY6G6D"	chrGL000256.1	+	3016053	3016398	3016174	3016398	3014095	3014218
21	"ENSG00000223833.2"	"NCR3"	chrGL000256.1	-	2887473	2887810	2887473	2887755	2888104	2888212
22	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887075	2887488	2887096	2887488	2885778	2885897
23	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887075	2887488	2887141	2887488	2885778	2885897
24	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887096	2887488	2887141	2887488	2885778	2885897
