ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
651	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926604	108926364	108926601	108939372	108939425
654	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926781	108926364	108926604	108939372	108939425
655	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926895	108926364	108926604	108939372	108939425
659	"ENSG00000123572.12"	"NRK"	chrX	+	105193566	105193726	105193590	105193726	105190306	105190456
664	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933548	102933426	102933528	102940098	102940188
666	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933579	102933426	102933548	102940098	102940188
667	"ENSG00000133142.13"	"TCEAL4"	chrX	+	102840786	102841219	102841146	102841219	102840542	102840611
679	"ENSG00000196440.7"	"ARMCX4"	chrX	+	100741009	100741079	100741012	100741079	100700985	100701032
767	"ENSG00000100284.16"	"TOM1"	chr22	+	35718991	35719170	35719020	35719170	35713869	35713954
777	"ENSG00000183963.14"	"SMTN"	chr22	+	31478895	31478988	31478901	31478988	31476661	31476740
911	"ENSG00000205930.4"	"C21orf49"	chr21	+	34157085	34157230	34157107	34157230	34144460	34144583
923	"ENSG00000198276.9"	"UCKL1"	chr20	-	62572462	62572573	62572462	62572561	62572735	62572740
938	"ENSG00000124205.11"	"EDN3"	chr20	+	57899381	57901047	57899385	57901047	57897426	57897507
964	"ENSG00000101104.8"	"PABPC1L"	chr20	+	43561697	43561826	43561712	43561826	43561322	43561354
997	"ENSG00000078699.17"	"CBFA2T2"	chr20	+	32228146	32228337	32228149	32228337	32224445	32224514
1032	"ENSG00000089057.10"	"SLC23A2"	chr20	-	4951438	4951565	4951438	4951561	4982051	4982153
1064	"ENSG00000063241.3"	"ISOC2"	chr19	-	55966626	55966745	55966626	55966697	55967715	55967856
1142	"ENSG00000105287.8"	"PRKD2"	chr19	-	47219387	47219792	47219387	47219477	47220071	47220384
1249	"ENSG00000089356.12"	"FXYD3"	chr19	+	35613668	35613858	35613821	35613858	35612125	35612149
1353	"ENSG00000105576.11"	"TNPO2"	chr19	-	12834062	12834179	12834062	12834174	12834582	12834825
1378	"ENSG00000105397.9"	"TYK2"	chr19	-	10478970	10479094	10478970	10479047	10488889	10489102
1384	"ENSG00000223705.5"	"NSUN5P1"	chr7	+	75045258	75045469	75045380	75045469	75044869	75045048
1495	"ENSG00000169738.3"	"DCXR"	chr17	-	79994066	79994324	79994066	79994184	79994419	79994519
1500	"ENSG00000164078.8"	"MST1R"	chr3	-	49932599	49932829	49932599	49932806	49932879	49932981
1519	"ENSG00000109065.7"	"NAT9"	chr17	-	72769714	72769827	72769714	72769824	72771737	72771846
1541	"ENSG00000198826.6"	"ARHGAP11A"	chr15	+	32925179	32925309	32925263	32925309	32921795	32921876
1556	"ENSG00000181392.10"	"SYNE4"	chr19	-	36496234	36497573	36496234	36496339	36497651	36497846
1558	"ENSG00000101639.14"	"CEP192"	chr18	+	13116372	13116502	13116375	13116502	13113584	13113704
1559	"ENSG00000101639.14"	"CEP192"	chr18	+	13116372	13116502	13116375	13116502	13114128	13114250
1573	"ENSG00000132199.14"	"ENOSF1"	chr18	-	690548	690745	690548	690631	691067	691106
1595	"ENSG00000011304.12"	"PTBP1"	chr19	+	808359	808452	808379	808452	806407	806556
1665	"ENSG00000108848.11"	"LUC7L3"	chr17	+	48815497	48815560	48815501	48815560	48814320	48814387
1666	"ENSG00000108848.11"	"LUC7L3"	chr17	+	48815497	48815560	48815501	48815560	48814647	48814840
1671	"ENSG00000159199.9"	"ATP5G1"	chr17	+	46971710	46971811	46971733	46971811	46970770	46970818
1721	"ENSG00000130414.7"	"NDUFA10"	chr2	-	240951033	240951113	240951033	240951077	240954155	240954277
1728	"ENSG00000215375.2"	"MYL5"	chr4	+	672446	672554	672454	672554	671742	671818
1729	"ENSG00000108272.9"	"DHRS11"	chr17	+	34951400	34951610	34951403	34951610	34948344	34948586
1766	"ENSG00000126254.7"	"RBM42"	chr19	+	36123978	36124154	36123999	36124154	36123837	36123903
1767	"ENSG00000126254.7"	"RBM42"	chr19	+	36128059	36128254	36128151	36128254	36125157	36125275
1771	"ENSG00000136870.6"	"ZNF189"	chr9	+	104162165	104162292	104162207	104162292	104161676	104161812
1777	"ENSG00000007216.10"	"SLC13A2"	chr17	+	26820588	26821123	26821034	26821123	26818747	26818870
1785	"ENSG00000072210.14"	"ALDH3A2"	chr17	+	19552247	19552437	19552275	19552437	19552035	19552156
1856	"ENSG00000083454.17"	"P2RX5"	chr17	-	3591919	3592053	3591919	3591970	3592785	3592924
1882	"ENSG00000196155.8"	"PLEKHG4"	chr16	+	67316083	67316252	67316103	67316252	67315911	67316010
1885	"ENSG00000259803.2"	"SLC22A31"	chr16	-	89265059	89265248	89265059	89265205	89265430	89265599
1904	"ENSG00000169592.10"	"INO80E"	chr16	+	30015875	30015978	30015888	30015978	30014970	30015035
1912	"ENSG00000186951.12"	"PPARA"	chr22	+	46594238	46594488	46594241	46594488	46547790	46547873
1933	"ENSG00000182149.16"	"IST1"	chr16	+	71949504	71949631	71949528	71949631	71928623	71928761
2027	"ENSG00000104897.5"	"SF3A2"	chr19	+	2246751	2247021	2246880	2247021	2245444	2245554
2056	"ENSG00000169682.13"	"SPNS1"	chr16	+	28986504	28986713	28986508	28986713	28986114	28986421
2060	"ENSG00000178188.10"	"SH2B1"	chr16	+	28878651	28878753	28878694	28878753	28877332	28878354
2092	"ENSG00000125170.6"	"DOK4"	chr16	-	57513353	57513600	57513353	57513597	57514206	57514289
2093	"ENSG00000125170.6"	"DOK4"	chr16	-	57513353	57513600	57513353	57513597	57520216	57520407
2190	"ENSG00000185596.12"	"WASH3P"	chr15	+	102512795	102512897	102512798	102512897	102512025	102512252
2192	"ENSG00000103852.8"	"TTC23"	chr15	-	99679521	99679781	99679521	99679604	99679900	99679949
