ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1531	"ENSG00000131002.7"	"TXLNG2P"	chrY	+	21751406	21751498	21749095	21749393	21755284	21755488
1555	"ENSG00000067048.12"	"DDX3Y"	chrY	+	15027794	15027939	15027407	15027686	15028172	15028265
1571	"ENSG00000129824.11"	"RPS4Y1"	chrY	+	2713686	2713784	2712117	2712298	2722640	2722812
1572	"ENSG00000129824.11"	"RPS4Y1"	chrY	+	2733128	2733286	2722136	2722812	2734833	2734903
1591	"ENSG00000214827.5"	"MTCP1"	chrX	-	154293893	154294064	154292240	154292308	154298968	154299411
1596	"ENSG00000165775.13"	"FUNDC2"	chrX	+	154279944	154280076	154261253	154261828	154282869	154282888
1601	"ENSG00000130827.5"	"PLXNA3"	chrX	+	153698030	153698127	153697721	153697825	153698319	153698510
1620	"ENSG00000180879.9"	"SSR4"	chrX	+	153063179	153063269	153061888	153062007	153063525	153063591
1625	"ENSG00000130821.11"	"SLC6A8"	chrX	+	152959584	152959722	152959359	152959472	152959798	152959875
1675	"ENSG00000102081.9"	"FMR1"	chrX	+	147024650	147024846	147022094	147022181	147026388	147026571
1705	"ENSG00000156500.10"	"FAM122C"	chrX	+	133983196	133983258	133981412	133981505	133988120	133988213
1706	"ENSG00000156500.10"	"FAM122C"	chrX	+	133986829	133986926	133983196	133983258	133988120	133988213
1726	"ENSG00000188706.8"	"ZDHHC9"	chrX	-	128962956	128963117	128957654	128957813	128975754	128975800
1749	"ENSG00000175556.12"	"LONRF3"	chrX	+	118140083	118140198	118124432	118124523	118143088	118143210
1750	"ENSG00000131724.6"	"IL13RA1"	chrX	+	117880916	117881055	117874979	117875119	117883620	117883741
1751	"ENSG00000131724.6"	"IL13RA1"	chrX	+	117892017	117892205	117883620	117883741	117895100	117895252
1753	"ENSG00000147251.11"	"DOCK11"	chrX	+	117724172	117724265	117722375	117722441	117727176	117727300
1754	"ENSG00000147251.11"	"DOCK11"	chrX	+	117817041	117817180	117815656	117815757	117819650	117820110
1755	"ENSG00000147251.11"	"DOCK11"	chrX	+	117817041	117817192	117815656	117815757	117819650	117820126
1757	"ENSG00000131725.9"	"WDR44"	chrX	+	117512381	117512415	117480035	117480543	117526594	117527234
1758	"ENSG00000131725.9"	"WDR44"	chrX	+	117521302	117521377	117480161	117480543	117526594	117527178
1789	"ENSG00000089682.12"	"RBM41"	chrX	-	106331964	106332069	106312539	106312632	106356626	106356698
1800	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102933426	102933548	102931753	102931979	102940098	102940188
1804	"ENSG00000123562.12"	"MORF4L2"	chrX	-	102939608	102939657	102933426	102933548	102940098	102940188
1849	"ENSG00000102359.5"	"SRPX2"	chrX	+	99919770	99919947	99917172	99917364	99920239	99920366
1900	"ENSG00000147162.9"	"OGT"	chrX	+	70756027	70756208	70752932	70753186	70757678	70757922
1901	"ENSG00000147162.9"	"OGT"	chrX	+	70756057	70756208	70752953	70753186	70757678	70757922
1920	"ENSG00000158813.13"	"EDA"	chrX	+	69253247	69253372	69250318	69250370	69255207	69259319
1921	"ENSG00000158813.13"	"EDA"	chrX	+	69253247	69253378	69250318	69250370	69255207	69259319
1922	"ENSG00000158813.13"	"EDA"	chrX	+	69253256	69253372	69250318	69250370	69255207	69255487
1936	"ENSG00000131089.9"	"ARHGEF9"	chrX	-	62974183	62974556	62944411	62944591	62974800	62974991
1961	"ENSG00000158423.12"	"RIBC1"	chrX	+	53450262	53450351	53449804	53449953	53453224	53453341
1981	"ENSG00000101997.8"	"CCDC22"	chrX	+	49105277	49105385	49105093	49105195	49105627	49105723
1982	"ENSG00000012211.8"	"PRICKLE3"	chrX	-	49034341	49034528	49033251	49033551	49034620	49034824
1983	"ENSG00000012211.8"	"PRICKLE3"	chrX	-	49034505	49034528	49033534	49033551	49034620	49034824
1989	"ENSG00000068400.9"	"GRIPAP1"	chrX	-	48849839	48849990	48847337	48847522	48853661	48853769
1994	"ENSG00000126768.8"	"TIMM17B"	chrX	-	48752320	48752384	48751182	48751508	48754041	48754141
2012	"ENSG00000197779.9"	"ZNF81"	chrX	+	47702048	47702167	47696344	47696406	47705503	47705720
2013	"ENSG00000126756.7"	"UXT"	chrX	-	47516581	47516689	47511479	47511543	47516970	47517038
2016	"ENSG00000102226.5"	"USP11"	chrX	+	47100172	47100275	47099985	47100047	47100675	47100849
2018	"ENSG00000182872.11"	"RBM10"	chrX	+	47034417	47034491	47032526	47032596	47035898	47035985
2020	"ENSG00000182872.11"	"RBM10"	chrX	+	47039817	47039905	47039610	47039708	47040613	47040800
2021	"ENSG00000147050.10"	"KDM6A"	chrX	+	44879854	44879975	44870205	44870264	44894175	44894230
2038	"ENSG00000215301.5"	"DDX3X"	chrX	+	41196660	41196718	41192650	41193550	41200736	41200869
2040	"ENSG00000215301.5"	"DDX3X"	chrX	+	41202468	41202604	41201989	41202089	41202989	41203075
2049	"ENSG00000156313.8"	"RPGR"	chrX	-	38146346	38146498	38135839	38136025	38147113	38147294
2051	"ENSG00000156313.8"	"RPGR"	chrX	-	38147113	38147294	38135839	38136025	38150211	38150277
2054	"ENSG00000156313.8"	"RPGR"	chrX	-	38163887	38164043	38160499	38160624	38169867	38170026
2070	"ENSG00000198947.10"	"DMD"	chrX	-	31191655	31191721	31190464	31190530	31196785	31196922
2083	"ENSG00000198814.8"	"GK"	chrX	+	30738127	30738212	30737535	30737632	30738737	30738858
2091	"ENSG00000005889.11"	"ZFX"	chrX	+	24193505	24193560	24190872	24190917	24197299	24197667
2092	"ENSG00000005889.11"	"ZFX"	chrX	+	24195800	24195983	24193505	24193560	24197299	24197667
2095	"ENSG00000130741.6"	"EIF2S3"	chrX	+	24091207	24091380	24089674	24089844	24094838	24096088
2099	"ENSG00000130066.12"	"SAT1"	chrX	+	23803444	23803546	23801916	23802000	23803636	23803677
2113	"ENSG00000147010.13"	"SH3KBP1"	chrX	-	19564039	19564168	19560042	19560311	19568091	19568201
2117	"ENSG00000131828.9"	"PDHA1"	chrX	+	19371199	19371291	19369377	19369525	19373466	19373622
2129	"ENSG00000169249.8"	"ZRSR2"	chrX	+	15821810	15821919	15817994	15818076	15822233	15822320
2131	"ENSG00000087842.6"	"PIR"	chrX	-	15425627	15425672	15415570	15415653	15444028	15444113
2132	"ENSG00000087842.6"	"PIR"	chrX	-	15444028	15444113	15425627	15425672	15473970	15474177
2155	"ENSG00000002586.13"	"CD99"	chrX	+	2644300	2644414	2641354	2641405	2656240	2656297
2176	"ENSG00000254413.4"	"CHKB-CPT1B"	chr22	-	51018993	51019089	51018618	51018845	51019848	51019982
2179	"ENSG00000025708.8"	"TYMP"	chr22	-	50964429	50964570	50964180	50964347	50964674	50964905
2180	"ENSG00000025708.8"	"TYMP"	chr22	-	50964429	50964585	50964180	50964347	50964674	50964905
2182	"ENSG00000025708.8"	"TYMP"	chr22	-	50965593	50965712	50965004	50965167	50968332	50968419
2183	"ENSG00000025708.8"	"TYMP"	chr22	-	50966016	50966146	50965004	50965167	50968332	50968419
2184	"ENSG00000025708.8"	"TYMP"	chr22	-	50966016	50966146	50965593	50965712	50968332	50968419
2186	"ENSG00000025708.8"	"TYMP"	chr22	-	50967564	50967767	50966016	50966146	50967924	50968148
2187	"ENSG00000025708.8"	"TYMP"	chr22	-	50967564	50967767	50966016	50966146	50968332	50968419
2188	"ENSG00000025708.8"	"TYMP"	chr22	-	50967924	50968148	50966016	50966146	50968332	50968419
2189	"ENSG00000025708.8"	"TYMP"	chr22	-	50967924	50968148	50967564	50967767	50968332	50968419
2190	"ENSG00000025708.8"	"TYMP"	chr22	-	50967924	50968160	50966016	50966146	50968332	50968461
2191	"ENSG00000025708.8"	"TYMP"	chr22	-	50967924	50968160	50967564	50967767	50968332	50968461
2192	"ENSG00000025708.8"	"TYMP"	chr22	-	50967924	50968183	50966016	50966146	50968332	50968428
2193	"ENSG00000025708.8"	"TYMP"	chr22	-	50967924	50968183	50967564	50967767	50968332	50968428
2194	"ENSG00000100258.13"	"LMF2"	chr22	-	50943485	50943582	50943230	50943413	50943657	50943686
2195	"ENSG00000100258.13"	"LMF2"	chr22	-	50943657	50943763	50943230	50943413	50943831	50943966
2203	"ENSG00000170638.5"	"TRABD"	chr22	+	50631455	50631522	50624345	50624430	50632004	50632083
2208	"ENSG00000182858.9"	"ALG12"	chr22	-	50304081	50304255	50303541	50303736	50307032	50307165
2209	"ENSG00000100425.14"	"BRD1"	chr22	-	50181037	50181142	50171325	50171461	50187681	50187942
2210	"ENSG00000100425.14"	"BRD1"	chr22	-	50181037	50181170	50171325	50171461	50187681	50187942
2211	"ENSG00000100425.14"	"BRD1"	chr22	-	50181037	50181535	50171325	50171461	50187681	50187942
2229	"ENSG00000241990.1"	"RP6-109B7.3"	chr22	+	46451478	46451613	46449584	46449800	46452726	46452825
2245	"ENSG00000093000.14"	"NUP50"	chr22	+	45577166	45577248	45573579	45574781	45579282	45579396
2246	"ENSG00000226328.2"	"CTA-217C2.1"	chr22	-	45534704	45534797	45528900	45530678	45548285	45548467
2277	"ENSG00000242247.6"	"ARFGAP3"	chr22	-	43203078	43203169	43195044	43195166	43204772	43204896
2278	"ENSG00000242247.6"	"ARFGAP3"	chr22	-	43204772	43204896	43203078	43203169	43206818	43206950
2282	"ENSG00000182841.8"	"RRP7B"	chr22	-	42976222	42976365	42973849	42973968	42977934	42978003
2285	"ENSG00000226450.2"	"CYP2D8P1"	chr22	-	42546745	42546930	42546153	42546295	42547134	42547276
2286	"ENSG00000205702.6"	"CYP2D7P1"	chr22	-	42537543	42537685	42537161	42537406	42537877	42538054
2287	"ENSG00000205702.6"	"CYP2D7P1"	chr22	-	42538728	42538881	42538479	42538640	42539410	42539582
2288	"ENSG00000100197.16"	"CYP2D6"	chr22	-	42523843	42523936	42523448	42523636	42524175	42524352
2289	"ENSG00000100197.16"	"CYP2D6"	chr22	-	42523843	42523985	42523448	42523636	42524175	42524352
2300	"ENSG00000198911.7"	"SREBF2"	chr22	+	42295240	42295557	42294652	42294785	42296333	42296502
2301	"ENSG00000198911.7"	"SREBF2"	chr22	+	42296023	42296126	42295240	42295557	42296333	42296502
2304	"ENSG00000196419.8"	"XRCC6"	chr22	+	42057334	42057448	42054255	42054356	42059625	42060038
2305	"ENSG00000100417.7"	"PMM1"	chr22	-	41980284	41980376	41979962	41980062	41980530	41980607
2306	"ENSG00000100417.7"	"PMM1"	chr22	-	41982079	41982197	41980009	41980607	41985055	41985167
2313	"ENSG00000100401.15"	"RANGAP1"	chr22	-	41652714	41652828	41652194	41652294	41653951	41654110
2316	"ENSG00000100393.9"	"EP300"	chr22	+	41525893	41526007	41523490	41523752	41527391	41527637
2317	"ENSG00000196236.8"	"XPNPEP3"	chr22	+	41256681	41256797	41253100	41253249	41257621	41258774
2320	"ENSG00000196236.8"	"XPNPEP3"	chr22	+	41351290	41351450	41349558	41349637	41360050	41360121
2326	"ENSG00000100372.10"	"SLC25A17"	chr22	-	41188528	41188680	41175012	41175129	41215198	41215354
2332	"ENSG00000100372.10"	"SLC25A17"	chr22	-	41195026	41195087	41175012	41175129	41215198	41215291
2339	"ENSG00000100359.16"	"SGSM3"	chr22	+	40798142	40798209	40796699	40796817	40800250	40800459
2340	"ENSG00000100359.16"	"SGSM3"	chr22	+	40803792	40803847	40803020	40803572	40804074	40804124
2341	"ENSG00000100359.16"	"SGSM3"	chr22	+	40805253	40805376	40804936	40805022	40805468	40805529
2342	"ENSG00000100359.16"	"SGSM3"	chr22	+	40805343	40805376	40804936	40805022	40805468	40805529
2356	"ENSG00000100311.12"	"PDGFB"	chr22	-	39631782	39631879	39629439	39629529	39639905	39640756
2366	"ENSG00000100211.6"	"CBY1"	chr22	+	39064021	39064137	39052640	39052755	39066888	39066994
2370	"ENSG00000100201.14"	"DDX17"	chr22	-	38891800	38891942	38890890	38891051	38894089	38894155
2372	"ENSG00000184381.14"	"PLA2G6"	chr22	-	38509493	38509661	38508510	38508584	38511533	38511688
2385	"ENSG00000128298.12"	"BAIAP2L2"	chr22	-	38503858	38503920	38494417	38494489	38504261	38504348
2393	"ENSG00000100129.13"	"EIF3L"	chr22	+	38270376	38270531	38266171	38266354	38271847	38272018
2394	"ENSG00000100129.13"	"EIF3L"	chr22	+	38282771	38282852	38273680	38274178	38284432	38284486
2401	"ENSG00000100097.7"	"LGALS1"	chr22	+	38072862	38073072	38071663	38071718	38074489	38074661
2402	"ENSG00000100097.7"	"LGALS1"	chr22	+	38072992	38073072	38071614	38071718	38074489	38074661
2404	"ENSG00000100097.7"	"LGALS1"	chr22	+	38074382	38074661	38073005	38073072	38075609	38075809
2405	"ENSG00000100097.7"	"LGALS1"	chr22	+	38074489	38074661	38072862	38073072	38075609	38075647
2407	"ENSG00000100092.16"	"SH3BP1"	chr22	+	38039650	38039795	38039104	38039181	38040643	38040712
2416	"ENSG00000100083.14"	"GGA1"	chr22	+	38020975	38021083	38019558	38019640	38025468	38025533
2417	"ENSG00000100083.14"	"GGA1"	chr22	+	38021803	38021956	38020975	38021083	38025468	38025533
2418	"ENSG00000100083.14"	"GGA1"	chr22	+	38026004	38026177	38025468	38025533	38026909	38027106
2431	"ENSG00000100360.10"	"IFT27"	chr22	-	37158947	37159057	37154245	37154453	37159962	37160080
2440	"ENSG00000100320.18"	"RBFOX2"	chr22	-	36148659	36148702	36142519	36142608	36152151	36152191
2443	"ENSG00000100320.18"	"RBFOX2"	chr22	-	36152151	36152191	36148659	36148702	36155934	36156067
2449	"ENSG00000100297.11"	"MCM5"	chr22	+	35813736	35813849	35812630	35812807	35815876	35816005
2456	"ENSG00000100284.16"	"TOM1"	chr22	+	35734705	35734781	35730320	35730441	35741717	35741777
2465	"ENSG00000100225.13"	"FBXO7"	chr22	+	32891479	32891517	32883731	32889268	32894130	32894816
2470	"ENSG00000128245.10"	"YWHAH"	chr22	+	32341485	32341664	32340951	32341221	32352125	32352469
2481	"ENSG00000182541.13"	"LIMK2"	chr22	+	31662969	31663056	31661931	31662118	31663761	31663893
2483	"ENSG00000182541.13"	"LIMK2"	chr22	+	31669437	31669493	31668456	31668690	31671136	31671294
2487	"ENSG00000183963.14"	"SMTN"	chr22	+	31486093	31486166	31485641	31486005	31486793	31486865
2488	"ENSG00000183963.14"	"SMTN"	chr22	+	31489769	31489862	31487660	31487833	31491288	31491441
2507	"ENSG00000100003.13"	"SEC14L2"	chr22	+	30811747	30812076	30806584	30806668	30812222	30812392
2508	"ENSG00000100003.13"	"SEC14L2"	chr22	+	30811936	30812076	30806584	30806668	30812222	30812392
2509	"ENSG00000100003.13"	"SEC14L2"	chr22	+	30812222	30812392	30806584	30806668	30818265	30818590
2516	"ENSG00000099992.11"	"TBC1D10A"	chr22	-	30690929	30691044	30690784	30690850	30691725	30691832
2517	"ENSG00000099992.11"	"TBC1D10A"	chr22	-	30695432	30695540	30691725	30691832	30700519	30700619
2530	"ENSG00000227117.2"	"CTA-85E5.10"	chr22	-	30414605	30414718	30404730	30405185	30436165	30436267
2539	"ENSG00000226471.2"	"CTA-292E10.6"	chr22	+	29217959	29218167	29196670	29196725	29240114	29240187
2540	"ENSG00000100219.12"	"XBP1"	chr22	-	29192034	29192180	29190542	29191720	29193064	29193193
2541	"ENSG00000100219.12"	"XBP1"	chr22	-	29195029	29195141	29193064	29193193	29196285	29196546
2542	"ENSG00000100219.12"	"XBP1"	chr22	-	29195044	29195141	29193064	29193193	29196285	29196512
2543	"ENSG00000100209.5"	"HSCB"	chr22	+	29139869	29139966	29138018	29138319	29147228	29147276
2544	"ENSG00000100209.5"	"HSCB"	chr22	+	29140602	29140697	29139869	29139966	29147228	29147276
2570	"ENSG00000244625.1"	"CTA-211A9.5"	chr22	+	27089643	27089799	27068729	27068950	27107792	27107971
2573	"ENSG00000244625.1"	"CTA-211A9.5"	chr22	+	27107792	27107971	27089643	27089799	27113215	27113422
2574	"ENSG00000244625.1"	"CTA-211A9.5"	chr22	+	27114102	27114194	27113215	27113422	27117612	27118135
2602	"ENSG00000100068.7"	"LRP5L"	chr22	-	25753221	25753393	25750562	25750779	25755793	25756156
2607	"ENSG00000167037.14"	"SGSM1"	chr22	+	25308609	25308719	25301071	25301154	25313624	25313721
2612	"ENSG00000100031.14"	"GGT1"	chr22	+	25003920	25003990	24979717	24979776	25006324	25006498
2614	"ENSG00000100031.14"	"GGT1"	chr22	+	25003920	25003990	24999164	24999288	25005931	25006000
2618	"ENSG00000100031.14"	"GGT1"	chr22	+	25005931	25006000	24999179	24999288	25006324	25006498
2623	"ENSG00000100028.7"	"SNRPD3"	chr22	+	24963951	24964144	24953624	24953768	24967883	24967985
2626	"ENSG00000100024.10"	"UPB1"	chr22	+	24919586	24919741	24916354	24916436	24921678	24922553
2628	"ENSG00000258555.2"	"SPECC1L-ADORA2A"	chr22	+	24739449	24739571	24734353	24734445	24743053	24743144
2630	"ENSG00000100014.15"	"SPECC1L"	chr22	+	24808615	24808675	24765185	24765288	24810501	24810741
2633	"ENSG00000099998.13"	"GGT5"	chr22	-	24621212	24621379	24620963	24621074	24621513	24621620
2634	"ENSG00000099998.13"	"GGT5"	chr22	-	24621212	24621382	24620963	24621074	24621513	24621620
2635	"ENSG00000099998.13"	"GGT5"	chr22	-	24628018	24628172	24627351	24627498	24628790	24628986
2636	"ENSG00000099998.13"	"GGT5"	chr22	-	24628018	24628176	24627351	24627498	24628790	24628986
2650	"ENSG00000273000.1"	"KB-1572G7.2"	chr22	-	24029017	24029182	24025911	24026054	24032418	24032543
