# `gene_id` is the hg19 Ensembl gene identifier.
# `gene_symbol` is the gene symbol.
# `seqname` is the gene's chromosome or scaffold name.
# `afe_annotation_status` indicates whether the line's AFE overlaps an annotated FE.
# `*_start` and `*_end` fields define the feature's 0-based, half-open interval.
# `strand` is the occupied strand; i.e., "+" or "-" for forward or reverse.
gene_id	gene_symbol	seqname	gene_start	gene_end	strand	afe_start	afe_end	afe_annotation_status	se_start	se_end
ENSG00000078808.12	SDF4	1	1152287	1167411	-	1167271	1167411	annotated	1163847	1164326
ENSG00000127054.14	CPSF3L	1	1246964	1260071	-	1249111	1251077	annotated	1247605	1247748
ENSG00000127054.14	CPSF3L	1	1246964	1260071	-	1249111	1251077	annotated	1247819	1247881
ENSG00000127054.14	CPSF3L	1	1246964	1260071	-	1249111	1251077	annotated	1247972	1248080
ENSG00000127054.14	CPSF3L	1	1246964	1260071	-	1249111	1251077	annotated	1248166	1248329
ENSG00000127054.14	CPSF3L	1	1246964	1260071	-	1259960	1260071	annotated	1255835	1255909
ENSG00000127054.14	CPSF3L	1	1246964	1260071	-	1259960	1260071	annotated	1255835	1256062
ENSG00000127054.14	CPSF3L	1	1246964	1260071	-	1259960	1260071	annotated	1255835	1256473
ENSG00000127054.14	CPSF3L	1	1246964	1260071	-	1259960	1260071	annotated	1256375	1256473
ENSG00000162576.12	MXRA8	1	1288068	1297157	-	1293835	1293923	annotated	1290829	1291132
ENSG00000221978.7	CCNL2	1	1321090	1334708	-	1334367	1334708	annotated	1330773	1330894
ENSG00000221978.7	CCNL2	1	1321090	1334708	-	1334367	1334708	annotated	1330773	1330917
ENSG00000221978.7	CCNL2	1	1321090	1334708	-	1334367	1334708	annotated	1333612	1333722
ENSG00000215915.5	ATAD3C	1	1385068	1405538	+	1385068	1386138	annotated	1389724	1389880
ENSG00000215915.5	ATAD3C	1	1385068	1405538	+	1387744	1387814	unannotated	1389724	1389880
ENSG00000160072.15	ATAD3B	1	1407142	1433228	+	1418864	1420551	annotated	1423242	1423294
ENSG00000197785.9	ATAD3A	1	1447530	1470067	+	1452449	1452792	annotated	1455927	1455997
ENSG00000008128.18	CDK11A	1	1634168	1655766	-	1653904	1654271	annotated	1653034	1653150
ENSG00000008128.18	CDK11A	1	1634168	1655766	-	1655238	1655766	annotated	1653034	1653150
ENSG00000078369.13	GNB1	1	1716728	1822495	-	1749125	1749825	annotated	1747194	1747301
ENSG00000162585.12	C1orf86	1	2115902	2144159	-	2125436	2125652	annotated	2121151	2121220
ENSG00000162585.12	C1orf86	1	2115902	2144159	-	2126126	2126214	annotated	2121151	2121220
ENSG00000162585.12	C1orf86	1	2115902	2144159	-	2126126	2126214	annotated	2125436	2125572
ENSG00000157916.14	RER1	1	2323266	2336883	+	2324612	2324670	annotated	2328554	2328659
ENSG00000157873.13	TNFRSF14	1	2487077	2496821	+	2487229	2487700	annotated	2489164	2489273
ENSG00000157873.13	TNFRSF14	1	2487077	2496821	+	2487804	2488172	annotated	2489164	2489273
ENSG00000162591.11	MEGF6	1	3406483	3528059	-	3413796	3413925	unannotated	3409202	3409331
ENSG00000162591.11	MEGF6	1	3406483	3528059	-	3413796	3413925	unannotated	3410334	3410463
ENSG00000162591.11	MEGF6	1	3406483	3528059	-	3416359	3416488	unannotated	3414934	3415063
ENSG00000162591.11	MEGF6	1	3406483	3528059	-	3416359	3416488	unannotated	3416151	3416280
ENSG00000162591.11	MEGF6	1	3406483	3528059	-	3417740	3417872	unannotated	3414934	3415063
ENSG00000162591.11	MEGF6	1	3406483	3528059	-	3417740	3417872	unannotated	3416151	3416280
ENSG00000162591.11	MEGF6	1	3406483	3528059	-	3417740	3417872	unannotated	3416359	3416488
ENSG00000162591.11	MEGF6	1	3406483	3528059	-	3417740	3417872	unannotated	3417529	3417658
ENSG00000162591.11	MEGF6	1	3406483	3528059	-	3425638	3425809	unannotated	3425121	3425253
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6266188	6266362	annotated	6269174	6269256
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6266188	6266362	annotated	6269327	6269403
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6266188	6266362	annotated	6270929	6270998
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6266188	6266362	annotated	6271080	6271178
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6268677	6269085	annotated	6269174	6269256
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6268677	6269085	annotated	6269327	6269403
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6268677	6269085	annotated	6270929	6270998
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6268677	6269085	annotated	6271080	6271178
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6268677	6269085	annotated	6271926	6272113
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6270282	6270355	unannotated	6270929	6270998
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6270282	6270355	unannotated	6271080	6271178
ENSG00000158286.8	RNF207	1	6265534	6281359	+	6270282	6270355	unannotated	6271926	6272113
ENSG00000187017.10	ESPN	1	6484847	6521430	+	6508526	6508621	annotated	6508952	6509151
ENSG00000187017.10	ESPN	1	6484847	6521430	+	6508526	6508621	annotated	6511892	6512156
ENSG00000204859.7	ZBTB48	1	6640060	6649340	+	6640060	6640196	annotated	6640600	6641359
ENSG00000204859.7	ZBTB48	1	6640060	6649340	+	6640060	6640196	annotated	6642117	6642359
ENSG00000204859.7	ZBTB48	1	6640060	6649340	+	6645361	6647351	annotated	6647537	6647692
