ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000261994.1"	"WEE2-AS1"	chrGL383534.2	-	99803	100242	99803	99978	100591	100745	0	0	0			339	75	NA	NA	NA		NA
1	"ENSG00000225553.3"	"PHF1"	chrGL000256.1	+	4860532	4860614	4860540	4860614	4860272	4860447	1	0	0			83	75	NA	NA	NA		NA
2	"ENSG00000225553.3"	"PHF1"	chrGL000256.1	+	4862977	4863167	4862988	4863167	4862747	4862852	2	0	0			86	75	NA	NA	NA		NA
3	"ENSG00000225553.3"	"PHF1"	chrGL000256.1	+	4863612	4863693	4863615	4863693	4863257	4863352	3	0	0			78	75	NA	NA	NA		NA
4	"ENSG00000236014.6"	"VPS52"	chrGL000256.1	-	4716995	4717200	4716995	4717171	4717471	4717539	4	0	0			104	75	NA	NA	NA		NA
5	"ENSG00000231573.1"	"HCG25"	chrGL000256.1	+	4698610	4698713	4698617	4698713	4697791	4697891	5	0	0			82	75	NA	NA	NA		NA
6	"ENSG00000231573.1"	"HCG25"	chrGL000256.1	+	4699514	4699708	4699579	4699708	4698617	4698713	6	0	0			140	75	NA	NA	NA		NA
7	"ENSG00000233140.2"	"TAPSAR1"	chrGL000256.1	+	4243194	4243420	4243359	4243420	4242682	4242824	7	0	0			240	75	NA	NA	NA		NA
8	"ENSG00000231631.2"	"PSMB8"	chrGL000256.1	-	4241221	4241333	4241221	4241261	4241491	4241639	8	0	0			147	75	NA	NA	NA		NA
9	"ENSG00000232062.4"	"HLA-DQA1"	chrGL000256.1	+	4044123	4044450	4044335	4044450	4043789	4043964	9	0	0			287	75	NA	NA	NA		NA
10	"ENSG00000234508.3"	"GPSM3"	chrGL000256.1	-	3507211	3507411	3507211	3507373	3507650	3507753	10	0	0			113	75	NA	NA	NA		NA
11	"ENSG00000227600.7"	"PPT2"	chrGL000256.1	+	3471189	3471285	3471269	3471285	3470088	3470279	11	0	0			155	75	NA	NA	NA		NA
12	"ENSG00000227600.7"	"PPT2"	chrGL000256.1	+	3471189	3471285	3471269	3471285	3470531	3470685	12	0	0			155	75	NA	NA	NA		NA
13	"ENSG00000227600.7"	"PPT2"	chrGL000256.1	+	3482591	3482762	3482607	3482762	3482414	3482510	13	0	0			91	75	NA	NA	NA		NA
14	"ENSG00000228454.3"	"C4B"	chrGL000256.1	+	3330053	3330286	3330113	3330286	3329653	3329825	14	0	0			135	75	NA	NA	NA		NA
15	"ENSG00000198457.9"	"CYP21A2"	chrGL000256.1	+	3339559	3339733	3339578	3339733	3339206	3339296	15	0	0			94	75	NA	NA	NA		NA
16	"ENSG00000198457.9"	"CYP21A2"	chrGL000256.1	+	3340030	3340132	3340070	3340132	3339840	3339942	16	0	0			115	75	NA	NA	NA		NA
17	"ENSG00000234798.2"	"DXO"	chrGL000256.1	-	3271092	3271312	3271092	3271239	3271398	3271634	17	0	0			148	75	NA	NA	NA		NA
18	"ENSG00000228896.5"	"SKIV2L"	chrGL000256.1	+	3261682	3261873	3261827	3261873	3261527	3261581	18	0	0			220	75	NA	NA	NA		NA
19	"ENSG00000224143.6"	"EHMT2"	chrGL000256.1	-	3185431	3185575	3185431	3185536	3187100	3187202	19	0	0			114	75	NA	NA	NA		NA
20	"ENSG00000235302.5"	"LY6G6D"	chrGL000256.1	+	3016053	3016398	3016174	3016398	3014095	3014218	20	0	0			196	75	NA	NA	NA		NA
21	"ENSG00000223833.2"	"NCR3"	chrGL000256.1	-	2887473	2887810	2887473	2887755	2888104	2888212	21	0	0			130	75	NA	NA	NA		NA
22	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887075	2887488	2887096	2887488	2885778	2885897	22	0	0			96	75	NA	NA	NA		NA
23	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887075	2887488	2887141	2887488	2885778	2885897	23	0	0			141	75	NA	NA	NA		NA
24	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887096	2887488	2887141	2887488	2885778	2885897	24	0	0			120	75	NA	NA	NA		NA
25	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887075	2887488	2887096	2887488	2886219	2886312	25	0	0			96	75	NA	NA	NA		NA
26	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887075	2887488	2887141	2887488	2886219	2886312	26	0	0			141	75	NA	NA	NA		NA
27	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887096	2887488	2887141	2887488	2886219	2886312	27	0	0			120	75	NA	NA	NA		NA
28	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887075	2887488	2887096	2887488	2886522	2886545	28	0	0			96	75	NA	NA	NA		NA
29	"ENSG00000230791.4"	"LST1"	chrGL000256.1	+	2887075	2887488	2887141	2887488	2886522	2886545	29	0	0			141	75	NA	NA	NA		NA
