gene-id	gene-name	first-exon	skipped-exon	kb-distance	strand
ENSG00000187634.11	SAMD11	chr1:930155-930336	chr1:931038-931089	0.883	+
ENSG00000187634.11	SAMD11	chr1:940346-940462	chr1:941143-941306	0.797	+
ENSG00000187634.11	SAMD11	chr1:940346-940462	chr1:941143-941230	0.797	+
ENSG00000169972.11	PUSL1	chr1:1308567-1308720	chr1:1308914-1308972	0.347	+
ENSG00000127054.20	INTS11	chr1:1316157-1317450	chr1:1312439-1312501	4.949	-
ENSG00000127054.20	INTS11	chr1:1316157-1317450	chr1:1315403-1315438	2.012	-
ENSG00000127054.20	INTS11	chr1:1316157-1317450	chr1:1314300-1314365	3.085	-
ENSG00000127054.20	INTS11	chr1:1324581-1324691	chr1:1320455-1321093	3.598	-
ENSG00000127054.20	INTS11	chr1:1324581-1324691	chr1:1320995-1321093	3.598	-
ENSG00000127054.20	INTS11	chr1:1324581-1324691	chr1:1323180-1323287	1.404	-
ENSG00000162576.16	MXRA8	chr1:1358456-1358794	chr1:1355449-1355752	3.042	-
ENSG00000215915.9	ATAD3C	chr1:1449689-1450758	chr1:1454344-1454500	4.655	+
ENSG00000160072.19	ATAD3B	chr1:1483485-1485171	chr1:1487862-1487914	4.377	+
ENSG00000197530.12	MIB2	chr1:1623122-1623699	chr1:1624990-1625185	1.868	+
ENSG00000197530.12	MIB2	chr1:1623122-1623699	chr1:1624964-1625185	1.842	+
ENSG00000197530.12	MIB2	chr1:1623122-1623699	chr1:1626649-1626754	3.527	+
ENSG00000197530.12	MIB2	chr1:1623122-1623699	chr1:1625557-1625653	2.435	+
ENSG00000197530.12	MIB2	chr1:1623122-1623699	chr1:1626366-1626754	3.244	+
ENSG00000197530.12	MIB2	chr1:1623122-1623699	chr1:1625545-1625653	2.423	+
ENSG00000197530.12	MIB2	chr1:1623774-1624209	chr1:1624990-1625185	1.216	+
ENSG00000197530.12	MIB2	chr1:1623774-1624209	chr1:1624964-1625185	1.19	+
ENSG00000197530.12	MIB2	chr1:1623774-1624209	chr1:1626649-1626754	2.875	+
ENSG00000197530.12	MIB2	chr1:1623774-1624209	chr1:1625557-1625653	1.783	+
ENSG00000197530.12	MIB2	chr1:1623774-1624209	chr1:1626366-1626754	2.592	+
ENSG00000197530.12	MIB2	chr1:1623774-1624209	chr1:1625545-1625653	1.771	+
ENSG00000197530.12	MIB2	chr1:1627296-1627830	chr1:1629384-1629566	2.088	+
ENSG00000008130.15	NADK	chr1:1758365-1758575	chr1:1754050-1754208	4.367	-
ENSG00000008130.15	NADK	chr1:1758365-1758575	chr1:1755373-1755476	3.099	-
ENSG00000067606.16	PRKCZ	chr1:2144451-2144584	chr1:2146026-2146108	1.575	+
